Name,Company,Category,Description,Key Features,Use Cases,Release Date
Claude 3.7 Sonnet,Anthropic,Enterprise AI,"Anthropic's most intelligent AI model, designed to serve humanity's long-term well-being through responsible AI development","AI-powered applications, Custom experiences, Human benefit at the foundation, Proprietary agent training data, Suite of multimodal models, Custom actuation software","AI research, Product development, Societal impacts analysis, Supply-chain management, Financial services, Healthcare applications",2025-02-24
AskUI Vision Agents,AskUI,Vision AI,"Empowers developers to build agents that interact with applications using AI-driven vision technology","AI Vision Technology, Cross-Application Control, Prompt-to-Action (PTA), Customizable Agents, Integration Friendly, Scalable Deployment","QA testing, Document extraction, Workflow automation",2024
LandingLens,Landing AI,Visual AI,"A visual AI platform designed to help companies harness their visual data to create, deploy, and scale visual AI solutions","User-friendly interface, Quick model building, Data accuracy optimization","Visual data processing, Image recognition, Quality control",2024
Adept,Adept,Enterprise AI,"Focuses on agentic AI for tech stacks, automating software processes with a full-stack approach","Locate (finding elements), Web VQA (answering questions), Planning (executing workflows)","Web automation, Document processing, Workflow execution",2024
automaited,automaited,Document Processing,"AI-driven automation for document-centric business processes","Pre-trained AI (Ada), No complex training, Seamless integration","Document capture, Data validation, Workflow integration",2024
CrewAI,CrewAI,Multi-agent Platform,"A leading multi-agent platform designed to streamline workflows across various industries","Build Quickly, Deploy Confidently, Track All Crews, Iterate To Perfection","Workflow automation, Task management, Process optimization",2024
AutoGPT,AutoGPT,Autonomous Agents,"An AI platform designed to revolutionize automation by offering continuous AI agents","Seamless Integration, Autonomous Operation, Intelligent Automation, Reliable Performance","Business automation, Marketing, Education",2024
Open Interpreter,Open Interpreter,Code Execution,"Bridges the gap between language models and code execution, enabling a ChatGPT-like interface in your terminal","Natural language control, Terminal interface, Code execution","Photo and video editing, Browser control, Data analysis",2024
Beam AI,Beam AI,Process Automation,"Platform for Agentic Process Automation used by Fortune 500 companies","AI Agents, Agentic Workflows, Multi-Agent Intelligence, AI-native Agent OS","Operational cost reduction, Workflow automation, Business scaling",2024
Orby AI,Orby AI,Enterprise Automation,"Enterprise AI automation platform focusing on empowering enterprise efficiency at scale","Generative Process Automation (GPA), Enterprise foundation model, Multimodal Large Action Model","Cost reduction, Rapid deployment, Team efficiency improvement",2024
ScreenMate AI,ScreenMate AI,Web Automation,"Allows users to automate web actions using simple text instructions","Real-time execution, Text command transformation, Web action automation","E-commerce automation, UI testing, Data collection, Customer support",2024
Project Astra,Google DeepMind,AI Assistant,"An ambitious project exploring the future of AI assistants, building on Gemini models","Multimodal processing, Context understanding, Natural conversation","Physics explanation, Landmark recognition, Math problem solving",2024
